"time","exp","weibull","gompertz","lognormal","loglogit","gengamma"
203.4,0.617394683727742,0.678680401290166,0.675265593782817,0.6244400088901,0.66442259080519,0.682430698018369
203.5,0.617248321238077,0.678510100732668,0.675116000347706,0.624270114035639,0.664233434773302,0.68226465867878
203.6,0.617101993445793,0.67833981640141,0.674966419316126,0.624100278567864,0.664044318998567,0.682098631950797
203.7,0.616955700342663,0.678169548314517,0.674816850691642,0.623930502470868,0.663855243513267,0.681932617850582
203.8,0.616809441920466,0.677999296490096,0.674667294477822,0.62376078572872,0.66366620834961,0.681766616394285
203.9,0.616663218170978,0.677829060946234,0.674517750678232,0.623591128325474,0.663477213539722,0.681600627598043
204,0.616517029085981,0.677658841700995,0.674368219296438,0.623421530245163,0.663288259115657,0.681434651477976
204.1,0.616370874657256,0.677488638772425,0.674218700336004,0.6232519914718,0.663099345109387,0.681268688050191
204.2,0.616224754876588,0.677318452178548,0.674069193800495,0.62308251198938,0.662910471552812,0.681102737330781
204.3,0.616078669735763,0.677148281937369,0.673919699693476,0.622913091781881,0.662721638477751,0.680936799335825
204.4,0.615932619226569,0.676978128066871,0.673770218018511,0.62274373083326,0.662532845915949,0.680770874081386
204.5,0.615786603340797,0.676807990585019,0.673620748779164,0.622574429127454,0.662344093899073,0.680604961583514
204.6,0.615640622070237,0.676637869509754,0.673471291978997,0.622405186648384,0.662155382458714,0.680439061858245
204.7,0.615494675406684,0.676467764859001,0.673321847621573,0.622236003379952,0.661966711626387,0.680273174921601
204.8,0.615348763341935,0.676297676650662,0.673172415710454,0.622066879306041,0.66177808143353,0.680107300789588
204.9,0.615202885867786,0.676127604902619,0.673022996249203,0.621897814410515,0.661589491911504,0.679941439478199
205,0.615057042976038,0.675957549632733,0.672873589241381,0.62172880867722,0.661400943091596,0.679775591003413
205.1,0.614911234658493,0.675787510858848,0.672724194690548,0.621559862089984,0.661212435005015,0.679609755381194
205.2,0.614765460906953,0.675617488598784,0.672574812600266,0.621390974632618,0.661023967682896,0.679443932627494
205.3,0.614619721713225,0.675447482870343,0.672425442974094,0.621222146288913,0.660835541156297,0.679278122758247
